AlexNet,AlexNetV2,AlexNetV3,PreTrainedAlexNet,WeakAlexNet
11.8832406997681,10.7705211639404,12.9176921844482,7.98630809783936,9.7542724609375
12.1407642364502,11.583025932312,13.0955171585083,8.57377433776856,10.2850522994995
12.007604598999,11.4474563598633,13.1607856750488,8.3597936630249,10.3689517974854
12.0244731903076,12.1153469085693,12.5057106018066,8.4282283782959,10.6808557510376
12.0181255340576,12.0652351379395,12.3968496322632,8.54516506195068,10.5093383789063
12.0665578842163,11.412579536438,12.4322214126587,8.46825695037842,10.5423965454102
12.1005744934082,11.80983543396,12.3830280303955,8.39631366729736,10.5575904846191
12.1687860488892,10.4585199356079,12.3987808227539,7.72214889526367,10.5445995330811
12.1775588989258,11.5537338256836,12.4429769515991,7.89376449584961,10.2795734405518
12.1649084091187,10.3296432495117,12.4183855056763,7.99308300018311,10.3319435119629
12.1009120941162,10.3918390274048,12.5019464492798,7.71987342834473,10.2511463165283
12.1702680587769,10.6016159057617,12.3722105026245,7.92761182785034,10.3242473602295
12.0980920791626,11.6022796630859,12.4081144332886,8.00961875915527,10.3226118087769
12.185320854187,10.4349660873413,12.4553394317627,8.01757431030273,10.2226047515869
12.3151731491089,10.5351238250732,12.4866065979004,7.86999893188477,10.4162721633911
12.2016458511353,10.3900060653687,12.4354419708252,7.93168258666992,10.4971523284912
12.2528915405273,10.4326076507568,12.400842666626,7.75030899047852,10.4477691650391
12.2908191680908,10.4623250961304,12.4670505523682,7.94063854217529,10.8599338531494
12.2405061721802,10.4921875,13.38978099823,7.81998920440674,10.3103942871094
12.2629508972168,10.495285987854,12.6248760223389,7.9371337890625,10.6126861572266
12.4160709381104,11.4761323928833,12.5436811447144,7.83052778244019,10.4310665130615
12.3502292633057,10.4613618850708,12.7627029418945,8.4530086517334,10.2052068710327
12.3399782180786,10.5460901260376,13.5799560546875,8.50373458862305,10.3652267456055
12.2946681976318,10.4999446868896,13.7550048828125,7.78086519241333,10.3148317337036
12.3935470581055,10.4846076965332,13.6738243103027,7.88112163543701,10.2375221252441
12.4319067001343,10.4690799713135,14.227710723877,8.35846900939941,10.5714426040649
12.3908824920654,10.5480537414551,13.6603775024414,7.7979679107666,10.3184862136841
12.5823955535889,10.5328979492188,14.0076370239258,7.72639179229736,10.2715749740601
13.106595993042,10.5640506744385,13.4514484405518,7.71324253082275,10.4407205581665
13.1245765686035,10.5436658859253,13.9778518676758,8.05732917785645,10.694149017334
12.4483947753906,10.5530185699463,13.7224969863892,7.79440498352051,10.3978338241577
12.3386192321777,10.5679702758789,13.8982181549072,8.17169761657715,10.3734178543091
13.5661096572876,10.5118618011475,14.0170259475708,8.11709976196289,10.3981761932373
13.8269386291504,10.5897998809814,13.7562551498413,8.04027462005615,10.17165184021
14.0272617340088,10.4630947113037,13.6481761932373,7.84060668945313,10.3798360824585
13.0799770355225,10.6515274047852,14.6510162353516,8.36897087097168,10.4840793609619
13.7588138580322,10.519567489624,13.4841156005859,7.93773937225342,10.4780750274658
13.9027366638184,10.5118398666382,14.691930770874,8.07692337036133,10.3820934295654
13.3139562606812,10.4882335662842,14.9184904098511,7.94550132751465,10.4545364379883
13.1948652267456,10.508731842041,14.4260349273682,7.94175720214844,10.2119541168213
13.2732248306274,10.4916133880615,13.5775709152222,7.75420427322388,10.3873271942139
13.2480850219727,10.5616817474365,13.5444869995117,7.64960193634033,10.4010572433472
14.3261938095093,10.6991319656372,13.3032817840576,7.7884635925293,10.5043058395386
14.1809701919556,10.6840763092041,13.8769865036011,7.84911918640137,10.3043174743652
13.3817520141602,10.6090621948242,13.3634443283081,7.88393878936768,10.3934326171875
13.0315170288086,10.5417451858521,13.5012445449829,7.89323043823242,10.3773384094238
13.5325078964233,10.748345375061,13.4278907775879,7.87721014022827,10.8115568161011
13.3513259887695,11.0107765197754,13.7660484313965,7.98798274993897,10.4998245239258
13.9949417114258,10.6871175765991,13.4199314117432,7.92585706710815,10.2969160079956
14.2777271270752,10.7910709381104,13.5869445800781,7.70273303985596,10.6763162612915
